Wavelength(nm),raw_data
    350.0000000,        9.5104894638061523
    351.0000000,        8.1118879318237305
    352.0000000,        9.9300699234008789
    353.0000000,       11.0000000000000000
    354.0000000,       11.0000000000000000
    355.0000000,       11.0000000000000000
    356.0000000,       11.0000000000000000
    357.0000000,       11.2657346725463870
    358.0000000,       12.6643352508544920
    359.0000000,       12.4685316085815430
    360.0000000,       12.0000000000000000
    361.0000000,       12.0000000000000000
    362.0000000,       13.2587413787841800
    363.0000000,       13.6713285446166990
    364.0000000,       13.0000000000000000
    365.0000000,       13.0000000000000000
    366.0000000,       14.6944446563720700
    367.0000000,       17.0000000000000000
    368.0000000,       17.0000000000000000
    369.0000000,       17.5174827575683590
    370.0000000,       18.6503505706787110
    371.0000000,       20.7482509613037110
    372.0000000,       19.7692298889160160
    373.0000000,       19.3146858215332030
    374.0000000,       20.0139865875244140
    375.0000000,       20.7132873535156250
    376.0000000,       20.1748256683349610
    377.0000000,       19.4475517272949220
    378.0000000,       22.2447547912597660
    379.0000000,       22.4930553436279300
    380.0000000,       22.4055938720703130
    381.0000000,       23.8041954040527340
    382.0000000,       24.0000000000000000
    383.0000000,       25.2027969360351560
    384.0000000,       28.0000000000000000
    385.0000000,       28.0000000000000000
    386.0000000,       29.1958045959472660
    387.0000000,       31.0979022979736330
    388.0000000,       31.7972030639648440
    389.0000000,       32.9930076599121090
    390.0000000,       34.5874137878417970
    391.0000000,       36.6853141784667970
    392.0000000,       37.5902786254882810
    393.0000000,       39.1468544006347660
    394.0000000,       41.9440574645996090
    395.0000000,       42.6853141784667970
    396.0000000,       43.7692298889160160
    397.0000000,       45.4195785522460940
    398.0000000,       48.9160842895507810
    399.0000000,       50.4825172424316410
    400.0000000,       51.9090919494628910
    401.0000000,       55.4055938720703130
    402.0000000,       58.3216781616210940
    403.0000000,       61.1188812255859380
    404.0000000,       63.9160842895507810
    405.0000000,       65.3472213745117190
    406.0000000,       67.4825210571289060
    407.0000000,       70.4195785522460940
    408.0000000,       74.6153869628906250
    409.0000000,       77.4055938720703130
    410.0000000,       79.6713256835937500
    411.0000000,       82.4685287475585940
    412.0000000,       88.0979003906250000
    413.0000000,       92.7972030639648440
    414.0000000,       94.8951034545898440
    415.0000000,       98.9860153198242190
    416.0000000,      102.8181838989257800
    417.0000000,      106.1888122558593700
    418.0000000,      108.2867126464843700
    419.0000000,      112.2083358764648400
    420.0000000,      116.4615402221679700
    421.0000000,      118.5594406127929700
    422.0000000,      121.2097930908203100
    423.0000000,      124.7622375488281200
    424.0000000,      129.6573486328125000
    425.0000000,      132.6013946533203100
    426.0000000,      135.0489501953125000
    427.0000000,      137.2447509765625000
    428.0000000,      140.7412567138671900
    429.0000000,      144.2377624511718700
    430.0000000,      147.4405670166015600
    431.0000000,      149.5384674072265600
    432.0000000,      150.5416717529296900
    433.0000000,      152.4265747070312500
    434.0000000,      156.6223754882812500
    435.0000000,      158.9090881347656200
    436.0000000,      160.6713256835937500
    437.0000000,      162.2097930908203100
    438.0000000,      166.4055938720703100
    439.0000000,      168.8671264648437500
    440.0000000,      170.5314636230468800
    441.0000000,      173.3286743164062500
    442.0000000,      174.5314636230468700
    443.0000000,      175.2307739257812500
    444.0000000,      175.9300689697265600
    445.0000000,      180.3750000000000000
    446.0000000,      183.0000000000000000
    447.0000000,      183.0629425048828100
    448.0000000,      185.1608428955078100
    449.0000000,      187.2587432861328100
    450.0000000,      189.2377624511718700
    451.0000000,      190.6363677978515600
    452.0000000,      192.5524444580078100
    453.0000000,      195.0839233398437500
    454.0000000,      198.5804138183593700
    455.0000000,      200.2307739257812500
    456.0000000,      201.3146820068359400
    457.0000000,      202.0416717529296900
    458.0000000,      204.1250000000000000
    459.0000000,      207.0279693603515600
    460.0000000,      210.4195861816406200
    461.0000000,      213.2167816162109400
    462.0000000,      215.5104827880859400
    463.0000000,      217.8111877441406200
    464.0000000,      220.6083984375000000
    465.0000000,      222.8041992187500000
    466.0000000,      224.9020996093750000
    467.0000000,      227.0000000000000000
    468.0000000,      232.5944061279296900
    469.0000000,      235.7971954345703100
    470.0000000,      237.7777709960937500
    471.0000000,      243.3333282470703100
    472.0000000,      246.9580383300781200
    473.0000000,      250.3216857910156200
    474.0000000,      255.2167816162109400
    475.0000000,      260.6993103027343700
    476.0000000,      266.0069885253906200
    477.0000000,      270.9020996093750000
    478.0000000,      275.7972106933593800
    479.0000000,      280.3076782226562500
    480.0000000,      284.5035095214843700
    481.0000000,      288.6993103027343700
    482.0000000,      294.8251647949218700
    483.0000000,      301.4444580078125000
    484.0000000,      307.0000000000000000
    485.0000000,      314.3076782226562500
    486.0000000,      320.6363525390625000
    487.0000000,      324.8321533203125000
    488.0000000,      329.6993103027343700
    489.0000000,      336.0769348144531200
    490.0000000,      343.6293640136718700
    491.0000000,      349.9230651855468700
    492.0000000,      357.6223754882812500
    493.0000000,      365.8461608886718700
    494.0000000,      373.5384521484375000
    495.0000000,      379.5314636230468800
    496.0000000,      386.1666564941406200
    497.0000000,      394.5000000000000000
    498.0000000,      403.5454406738281200
    499.0000000,      412.6363525390625000
    500.0000000,      421.7272644042968800
    501.0000000,      430.8181762695312500
    502.0000000,      439.0000000000000000
    503.0000000,      446.8461608886718700
    504.0000000,      455.2377624511718700
    505.0000000,      464.1818237304687500
    506.0000000,      473.5244750976562500
    507.0000000,      483.3146972656250000
    508.0000000,      491.8041992187500000
    509.0000000,      501.2083435058593700
    510.0000000,      511.5454406738281200
    511.0000000,      520.6363525390625000
    512.0000000,      531.0489501953125000
